duration_us,cutoff,protocol,kappa_mhz_inv,maximum_final_pf,center_rms_khz,maximum_abs_center_khz,minimum_pe_contrast
5.0,0.005,smooth_drag_same_kappa,0.00225,0.0007889342182281351,57.864156080016535,119.99999999999997,0.32172497138009437
5.0,0.005,smooth_drag_retuned,-0.0025,0.0006853782905473257,1.7780059399249297,3.946044981628886,0.25643989495265107
7.0,0.005,abrupt_kappa_only,0.00225,0.14418918353861856,0.30203740897333475,0.9104423461301383,0.2115900071308162
7.0,0.005,smooth_no_drag,0.00225,0.0061660690431420894,4.545790291425913,12.065028814317323,0.2132986129838831
7.0,0.005,smooth_drag_same_kappa,0.00225,0.0006405997117959444,65.05662100376944,110.00000000000004,0.29302286251652065
7.0,0.005,smooth_drag_retuned,-0.0025,0.0008673345639562918,1.378390649429223,2.9724286514184577,0.21681002126442792
10.0,0.005,abrupt_kappa_only,0.00225,0.11355824331265507,0.3914177553373298,1.3331267592275013,0.16537745563663156
10.0,0.005,smooth_no_drag,0.00225,0.006635369458740273,3.5422238565533446,10.867677583719408,0.17528249937456092
10.0,0.005,smooth_drag_same_kappa,0.00225,0.0008491750356062683,50.469584072592525,109.06322612859887,0.21224783774662265
10.0,0.005,smooth_drag_retuned,-0.0025,0.0008651662631590303,1.5102099735083574,3.7807744391294493,0.16964480275033433
20.0,0.005,abrupt_kappa_only,0.00225,0.09106640908973607,0.3621743769201896,1.1201041113505388,0.05527565386703526
20.0,0.005,smooth_no_drag,0.00225,0.004942971570252624,1.9746960242753566,4.567044546532847,0.06641023380397915
20.0,0.005,smooth_drag_same_kappa,0.00225,0.0010645820386964752,66.95959697405934,119.99999999999997,0.09546771842326807
20.0,0.005,smooth_drag_retuned,-0.0025,0.001190393177304235,1.1446784930617426,2.082020206068076,0.06279138628344039
30.0,0.005,abrupt_kappa_only,0.00225,0.06975076094106811,28.40394759815162,110.00000000000004,0.01648830196360601
30.0,0.005,smooth_no_drag,0.00225,0.004050212514162819,2.858894670282119,8.319682751534975,0.014083462596406915
30.0,0.005,smooth_drag_same_kappa,0.00225,0.0011996895967022,48.47215259563553,110.00000000000004,0.02866965074257133
30.0,0.005,smooth_drag_retuned,-0.0025,0.0013580860261215837,1.6172440412136615,3.5247594992493743,0.014760159018458563
3.0,0.02,abrupt_kappa_only,0.00225,0.12814324935891783,1.7804359371102076,6.350205869746322,0.030156748732094965
3.0,0.02,smooth_no_drag,0.00225,0.006917646803170528,14.667730709676263,44.887997743991534,0.04068439963378291
3.0,0.02,smooth_drag_same_kappa,0.00225,0.0010105963326633902,87.38433675754752,119.99999999999997,0.03917935702569711
3.0,0.02,smooth_drag_retuned,-0.0025,0.0010186356911947177,9.374632700132226,23.274356248963514,0.037861974552286154
5.0,0.02,abrupt_kappa_only,0.00225,0.13769953805386806,0.9698701630130684,1.758423362335566,0.026903118285635325
5.0,0.02,smooth_no_drag,0.00225,0.008226909847638544,11.254577519248516,29.751032586679585,0.029635779698512638
5.0,0.02,smooth_drag_same_kappa,0.00225,0.0015315456063917927,88.49161552131261,119.99999999999997,0.0434826516300148
5.0,0.02,smooth_drag_retuned,-0.0025,0.0015780525341670122,9.983436781347063,23.835048449005463,0.02921165770302897
7.0,0.02,abrupt_kappa_only,0.00225,0.13511621143360353,1.4734962228187594,3.8339689916397823,0.02026484626210548
7.0,0.02,smooth_no_drag,0.00225,0.005480061372552523,14.070100343254412,40.612706802879565,0.02700961606226085
7.0,0.02,smooth_drag_same_kappa,0.00225,0.0016506932116507782,86.02411067179524,119.99999999999997,0.03807104959053115
7.0,0.02,smooth_drag_retuned,-0.0025,0.0020165968008576548,8.422607405086591,21.790578212238195,0.024132287070346536
10.0,0.02,abrupt_kappa_only,0.00225,0.1267314564551587,1.34932325661195,4.24218136924447,0.0136994911679168
10.0,0.02,smooth_no_drag,0.00225,0.006728221166762607,12.68374856890584,37.62177120901765,0.020543777033701527
10.0,0.02,smooth_drag_same_kappa,0.00225,0.0022510349763807534,82.60345411988305,119.99999999999997,0.04422590899434392
10.0,0.02,smooth_drag_retuned,-0.0025,0.0025424484103723026,8.391285057294992,21.6337802240974,0.01907095339344661
20.0,0.02,abrupt_kappa_only,0.00225,0.09713264828712079,28.41589670132499,110.00000000000004,0.0011288877710686207
20.0,0.02,smooth_no_drag,0.00225,0.007460072038803207,14.114159279932412,37.49379484580709,0.007172491364338285
20.0,0.02,smooth_drag_same_kappa,0.00225,0.003616996884484298,82.63716601295252,119.99999999999997,0.01625344467829709
20.0,0.02,smooth_drag_retuned,-0.0025,0.003970687235876236,11.875151029987874,28.255541486380547,0.0076982679095511375
30.0,0.02,abrupt_kappa_only,0.00225,0.06292623786404425,52.30337530716242,119.99999999999997,0.003329990226922319
30.0,0.02,smooth_no_drag,0.00225,0.006355267072172392,13.245914296289287,33.40888570397144,0.002529567082859452
30.0,0.02,smooth_drag_same_kappa,0.00225,0.004120289776689727,73.41191517824255,119.99999999999997,0.00912655795095979
30.0,0.02,smooth_drag_retuned,-0.0025,0.004867713414815984,19.272284291679966,42.769136623839536,0.0020382004693178524
