target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
2.5,2.520252178462184,0.065,0.476,0.4257567454120894,0.05024325458791057
2.5,2.520252178462184,0.07,0.512,0.4286195591767903,0.08338044082320972
2.5,2.520252178462184,0.075,0.511,0.42721817104284143,0.08378182895715858
2.5,2.520252178462184,0.08,0.501,0.4241111021494327,0.0768888978505673
2.5,2.520252178462184,0.085,0.517,0.42100403325602404,0.09599596674397598
2.5,2.520252178462184,0.09,0.486,0.4178969643626153,0.06810303563738468
2.5,2.520252178462184,0.095,0.55,0.41790299100804684,0.1320970089919532
2.5,2.520252178462184,0.1,0.527,0.4197166215147405,0.10728337848525954
2.5,2.520252178462184,0.105,0.483,0.4215302520214341,0.06146974797856586
2.5,2.520252178462184,0.11,0.512,0.4233438825281277,0.0886561174718723
2.5,2.520252178462184,0.115,0.507,0.42759356989365227,0.07940643010634774
2.5,2.520252178462184,0.12,0.5,0.4338281924774832,0.06617180752251678
2.5,2.520252178462184,0.125,0.534,0.4400628150613142,0.0939371849386858
2.5,2.520252178462184,0.13,0.497,0.4462974376451453,0.05070256235485471
2.5,2.520252178462184,0.135,0.5,0.4514934136409222,0.048506586359077786
2.5,2.520252178462184,0.14,0.519,0.45551526740672516,0.06348473259327486
2.5,2.520252178462184,0.145,0.552,0.459537121172528,0.09246287882747206
2.5,2.520252178462184,0.15,0.498,0.4635589749383309,0.03444102506166907
2.5,2.520252178462184,0.155,0.535,0.46570705727578393,0.0692929427242161
2.5,2.520252178462184,0.16,0.538,0.46489655314742157,0.07310344685257847
2.5,2.520252178462184,0.165,0.522,0.46408604901905914,0.057913950980940876
2.5,2.520252178462184,0.17,0.513,0.4632755448906967,0.04972445510930329
2.5,2.520252178462184,0.175,0.527,0.4621961666597338,0.06480383334026624
2.5,2.520252178462184,0.18,0.515,0.46050734046287617,0.054492659537123844
2.5,2.520252178462184,0.185,0.508,0.45881851426601855,0.049181485733981456
2.5,2.520252178462184,0.19,0.53,0.45712968806916093,0.0728703119308391
2.5,2.520252178462184,0.195,0.516,0.4561212617705065,0.05987873822949352
2.5,2.520252178462184,0.2,0.526,0.45746330784746325,0.06853669215253677
2.5,2.520252178462184,0.205,0.521,0.45880535392441996,0.06219464607558006
2.5,2.520252178462184,0.21,0.534,0.46014740000137666,0.07385259999862337
2.5,2.520252178462184,0.215,0.5,0.46176944005061576,0.038230559949384235
2.5,2.520252178462184,0.22,0.521,0.4650714439335488,0.055928556066451196
2.5,2.520252178462184,0.225,0.498,0.4683734478164819,0.029626552183518118
2.5,2.520252178462184,0.23,0.521,0.4716754516994149,0.049324548300585136
2.5,2.520252178462184,0.235,0.549,0.4748704411959222,0.07412955880407784
2.5,2.520252178462184,0.24,0.554,0.4764245434339018,0.07757545656609827
2.5,2.520252178462184,0.245,0.516,0.4779786456718813,0.038021354328118706
