series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,10.0,,-0.375,0.674
current_echo_experiment,10.0,,-0.37,0.679
current_echo_experiment,10.0,,-0.365,0.674
current_echo_experiment,10.0,,-0.36,0.67
current_echo_experiment,10.0,,-0.355,0.642
current_echo_experiment,10.0,,-0.35,0.665
current_echo_experiment,10.0,,-0.345,0.68
current_echo_experiment,10.0,,-0.34,0.643
current_echo_experiment,10.0,,-0.335,0.682
current_echo_experiment,10.0,,-0.33,0.643
current_echo_experiment,10.0,,-0.325,0.668
current_echo_experiment,10.0,,-0.32,0.69
current_echo_experiment,10.0,,-0.315,0.668
current_echo_experiment,10.0,,-0.31,0.655
current_echo_experiment,10.0,,-0.305,0.651
current_echo_experiment,10.0,,-0.3,0.653
current_echo_experiment,10.0,,-0.295,0.641
current_echo_experiment,10.0,,-0.29,0.642
current_echo_experiment,10.0,,-0.285,0.639
current_echo_experiment,10.0,,-0.28,0.653
current_echo_experiment,10.0,,-0.275,0.644
current_echo_experiment,10.0,,-0.27,0.668
current_echo_experiment,10.0,,-0.265,0.674
current_echo_experiment,10.0,,-0.26,0.66
current_echo_experiment,10.0,,-0.255,0.67
current_echo_experiment,10.0,,-0.25,0.666
current_echo_experiment,10.0,,-0.245,0.636
current_echo_experiment,10.0,,-0.24,0.651
current_echo_experiment,10.0,,-0.235,0.624
current_echo_experiment,10.0,,-0.23,0.652
current_echo_experiment,10.0,,-0.225,0.662
current_echo_experiment,10.0,,-0.22,0.638
current_echo_experiment,10.0,,-0.215,0.653
current_echo_experiment,10.0,,-0.21,0.643
current_echo_experiment,10.0,,-0.205,0.647
current_echo_experiment,10.0,,-0.2,0.617
current_echo_experiment,10.0,,-0.195,0.689
current_echo_experiment,10.0,,-0.19,0.645
current_echo_experiment,10.0,,-0.185,0.633
current_echo_experiment,10.0,,-0.18,0.662
current_echo_experiment,10.0,,-0.175,0.631
current_echo_experiment,10.0,,-0.17,0.649
current_echo_experiment,10.0,,-0.165,0.647
current_echo_experiment,10.0,,-0.16,0.608
current_echo_experiment,10.0,,-0.155,0.639
current_echo_experiment,10.0,,-0.15,0.6
current_echo_experiment,10.0,,-0.145,0.642
current_echo_experiment,10.0,,-0.14,0.604
current_echo_experiment,10.0,,-0.135,0.6
current_echo_experiment,10.0,,-0.13,0.639
current_echo_experiment,10.0,,-0.125,0.601
current_echo_experiment,10.0,,-0.12,0.606
current_echo_experiment,10.0,,-0.115,0.616
current_echo_experiment,10.0,,-0.11,0.618
current_echo_experiment,10.0,,-0.105,0.607
current_echo_experiment,10.0,,-0.1,0.62
current_echo_experiment,10.0,,-0.095,0.594
current_echo_experiment,10.0,,-0.09,0.623
current_echo_experiment,10.0,,-0.085,0.607
current_echo_experiment,10.0,,-0.08,0.577
current_echo_experiment,10.0,,-0.075,0.576
