detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.19,0.612,0.3602850443334553,0.25171495566654467
-0.185,0.595,0.3598729994210664,0.2351270005789336
-0.18,0.609,0.35946095450867743,0.24953904549132255
-0.175,0.615,0.3590489095962885,0.2559510904037115
-0.17,0.58,0.359087625851935,0.22091237414806497
-0.165,0.627,0.3593252073287736,0.2676747926712264
-0.16,0.621,0.3595627888056122,0.2614372111943878
-0.155,0.628,0.35980037028245077,0.26819962971754924
-0.15,0.614,0.36021383181018657,0.2537861681898134
-0.145,0.629,0.3607386840368239,0.2682613159631761
-0.14,0.604,0.3612635362634613,0.24273646373653868
-0.135,0.648,0.36178838849009864,0.2862116115099014
-0.13,0.587,0.36251575580093626,0.2244842441990637
-0.125,0.593,0.36342227107087416,0.2295777289291258
-0.12,0.612,0.36432878634081206,0.24767121365918793
-0.115,0.622,0.36523530161074996,0.25676469838925003
-0.11,0.605,0.3667430187067143,0.2382569812932857
-0.105,0.576,0.3689885744073474,0.20701142559265256
-0.1,0.578,0.3712341301079805,0.20676586989201945
-0.095,0.568,0.3734796858086136,0.19452031419138632
-0.09,0.564,0.3762059259801563,0.18779407401984366
-0.085,0.561,0.3797600116293764,0.18123998837062366
-0.08,0.525,0.38331409727859656,0.14168590272140347
-0.075,0.521,0.3868681829278167,0.1341318170721833
-0.07,0.516,0.390736605327922,0.12526339467207803
-0.065,0.507,0.39539086960524006,0.11160913039475995
-0.06,0.472,0.40004513388255813,0.07195486611744184
-0.055,0.514,0.40469939815987627,0.10930060184012375
-0.05,0.48,0.40942878960280765,0.07057121039719233
-0.045,0.464,0.41445117699163103,0.04954882300836899
-0.04,0.473,0.41947356438045436,0.05352643561954562
-0.035,0.448,0.42449595176927774,0.023504048230722274
-0.03,0.434,0.4292793458954823,0.004720654104517719
-0.025,0.438,0.432349954972919,0.0056500450270809965
-0.02,0.433,0.43542056405035573,-0.0024205640503557335
-0.015,0.413,0.43849117312779246,-0.025491173127792477
-0.01,0.433,0.4414413718569507,-0.008441371856950708
-0.005,0.454,0.4415619274015653,0.012438072598434713
0.0,0.438,0.44168248294617984,-0.0036824829461798436
0.005,0.492,0.44180303849079444,0.05019696150920555
0.01,0.463,0.44192359403540904,0.021076405964590983
0.015,0.472,0.4390889944309876,0.032911005569012386
0.02,0.475,0.43612864354362846,0.03887135645637152
0.025,0.505,0.4331682926562693,0.07183170734373068
0.03,0.452,0.4302079417689102,0.021792058231089817
0.035,0.491,0.42523403638899954,0.06576596361100046
0.04,0.523,0.419979169917105,0.10302083008289503
0.045,0.534,0.4147243034452104,0.11927569655478965
0.05,0.523,0.4094694369733158,0.11353056302668424
0.055,0.558,0.40449277284550716,0.1535072271544929
0.06,0.558,0.39958744265207957,0.15841255734792048
0.065,0.571,0.3946821124586519,0.17631788754134803
0.07,0.576,0.38977678226522433,0.18622321773477563
0.075,0.592,0.3860280728344991,0.2059719271655009
0.08,0.558,0.3827420117088548,0.17525798829114525
0.085,0.609,0.37945595058321047,0.22954404941678952
