detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.075,0.521,0.4892689587392598,0.03173104126074022
-0.07,0.516,0.48763811319626804,0.028361886803731973
-0.065,0.507,0.48333724849949533,0.023662751500504675
-0.06,0.472,0.47903638380272257,-0.00703638380272259
-0.055,0.514,0.47473551910594985,0.03926448089405016
-0.05,0.48,0.46915513876363296,0.01084486123636702
-0.045,0.464,0.458584647403694,0.0054153525963060445
-0.04,0.473,0.448014156043755,0.02498584395624498
-0.035,0.448,0.437443664683816,0.010556335316183996
-0.03,0.434,0.4268537327806898,0.007146267219310221
-0.025,0.438,0.41612447698472127,0.02187552301527873
-0.02,0.433,0.4053952211887528,0.027604778811247177
-0.015,0.413,0.3946659653927843,0.018334034607215666
-0.01,0.433,0.3843265847569849,0.048673415243015106
-0.005,0.454,0.3831492703851582,0.07085072961484179
0.0,0.438,0.38197195601333156,0.05602804398666844
0.005,0.492,0.38079464164150495,0.11120535835849504
0.01,0.463,0.3796173272696783,0.08338267273032174
0.015,0.472,0.3885196204457134,0.08348037955428655
0.02,0.475,0.3978508330918704,0.07714916690812956
0.025,0.505,0.40718204573802735,0.09781795426197265
0.03,0.452,0.4165132583841843,0.03548674161581572
0.035,0.491,0.42744164746018143,0.06355835253981856
0.04,0.523,0.43859289836359805,0.08440710163640197
0.045,0.534,0.4497441492670147,0.0842558507329853
0.05,0.523,0.46089540017043135,0.062104599829568674
0.055,0.558,0.46811997755178175,0.0898800224482183
0.06,0.558,0.4743377155684999,0.08366228443150014
0.065,0.571,0.48055545358521806,0.09044454641478189
0.07,0.576,0.48677319160193616,0.0892268083980638
0.075,0.592,0.4902297769623134,0.10177022303768657
0.08,0.558,0.4925819012601543,0.06541809873984578
0.085,0.609,0.4949340255579952,0.11406597444200478
0.09,0.563,0.4972861498558361,0.06571385014416387
0.095,0.56,0.49963924744961746,0.06036075255038259
0.1,0.582,0.5019929101829772,0.08000708981702276
0.105,0.563,0.5043465729163369,0.05865342708366306
0.11,0.601,0.5067002356496966,0.0942997643503034
0.115,0.559,0.5096717153412087,0.049328284658791355
0.12,0.57,0.5131466014430671,0.05685339855693283
0.125,0.566,0.5166214875449257,0.0493785124550743
0.13,0.563,0.5200963736467841,0.042903626353215873
0.135,0.577,0.5234048459163447,0.05359515408365523
0.14,0.599,0.5265251982015686,0.07247480179843135
0.145,0.581,0.5296455504867925,0.051354449513207445
0.15,0.553,0.5327659027720165,0.020234097227983527
0.155,0.562,0.5353877969771508,0.02661220302284928
0.16,0.609,0.5372226521084592,0.07177734789154078
0.165,0.598,0.5390575072397676,0.058942492760232335
0.17,0.607,0.5408923623710762,0.0661076376289238
0.175,0.603,0.5426032093891854,0.0603967906108146
0.18,0.617,0.5440329713507096,0.07296702864929039
0.185,0.586,0.5454627333122338,0.04053726668776614
0.19,0.647,0.546892495273758,0.10010750472624197
0.195,0.629,0.5484727783262914,0.08052722167370863
0.2,0.638,0.5505730433295831,0.08742695667041689
0.205,0.623,0.552673308332875,0.07032669166712502
0.21,0.644,0.5547735733361668,0.08922642666383318
0.215,0.651,0.5569239108269549,0.09407608917304511
0.22,0.654,0.5593746832427208,0.09462531675727925
0.225,0.642,0.5618254556584866,0.08017454434151339
0.23,0.656,0.5642762280742524,0.09172377192574765
0.235,0.661,0.5666810478366935,0.09431895216330655
0.24,0.66,0.5683812602481557,0.09161873975184431
0.245,0.649,0.5700814726596178,0.07891852734038218
0.25,0.632,0.5717816850710801,0.060218314928919936
0.255,0.637,0.5734818974825422,0.06351810251745782
0.26,0.645,0.5742372495679605,0.0707627504320395
0.265,0.668,0.5749729170632529,0.09302708293674711
0.27,0.643,0.5757085845585453,0.06729141544145467
0.275,0.617,0.5764442520538378,0.040555747946162235
0.28,0.654,0.5771646708284001,0.07683532917159996
0.285,0.634,0.5778833567937884,0.05611664320621157
0.29,0.611,0.5786020427591768,0.03239795724082317
0.295,0.669,0.5793207287245653,0.08967927127543474
0.3,0.653,0.580635093831225,0.072364906168775
0.305,0.643,0.5820834867446707,0.06091651325532932
0.31,0.633,0.5835318796581165,0.049468120341883526
0.315,0.647,0.5849802725715622,0.062019727428437865
0.32,0.649,0.5866473641540633,0.062352635845936755
0.325,0.654,0.5883934302559454,0.06560656974405465
0.33,0.671,0.5901394963578275,0.08086050364217257
0.335,0.662,0.5918855624597097,0.07011443754029034
0.34,0.653,0.5932229420259146,0.05977705797408539
0.345,0.66,0.5943432068700413,0.06565679312995876
0.35,0.684,0.5954634717141679,0.08853652828583214
0.355,0.675,0.5965837365582944,0.0784162634417056
0.36,0.651,0.5972804424063194,0.053719557593680634
0.365,0.649,0.597659479007268,0.05134052099273201
0.37,0.674,0.5980385156082166,0.07596148439178341
0.375,0.676,0.5984175522091653,0.07758244779083479
0.38,0.66,0.598821048241144,0.061178951758856015
0.385,0.63,0.5992500228471127,0.030749977152887298
0.39,0.669,0.5996789974530813,0.06932100254691875
0.395,0.651,0.6001079720590499,0.05089202794095016
0.4,0.655,0.6007880055606413,0.05421199443935876
0.405,0.637,0.6018320744608857,0.0351679255391143
0.41,0.627,0.60287614336113,0.024123856638869956
0.415,0.635,0.6039202122613745,0.03107978773862552
0.42,0.632,0.6050388627979956,0.026961137202004437
0.425,0.621,0.6063113379596432,0.014688662040356792
0.43,0.643,0.607583813121291,0.035416186878709066
0.435,0.657,0.6088562882829386,0.048143711717061444
0.44,0.658,0.6100062268516336,0.04799377314836639
0.445,0.666,0.6107783442587245,0.05522165574127558
0.45,0.656,0.6115504616658153,0.044449538334184746
0.455,0.671,0.6123225790729061,0.05867742092709394
0.46,0.664,0.613004683619029,0.05099531638097099
0.465,0.675,0.6132254722526915,0.061774527747308516
