detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
0.325,0.654,0.5337165368002273,0.12028346319977268
0.33,0.671,0.5358645152308378,0.13513548476916226
0.335,0.662,0.5380124936614481,0.12398750633855193
0.34,0.653,0.539216677595994,0.11378332240400602
0.345,0.66,0.5399194707045056,0.1200805292954944
0.35,0.684,0.5406222638130173,0.1433777361869828
0.355,0.675,0.5413250569215289,0.13367494307847116
0.36,0.651,0.5409839550680597,0.11001604493194028
0.365,0.649,0.5398599319931051,0.10914006800689491
0.37,0.674,0.5387359089181505,0.13526409108184956
0.375,0.676,0.5376118858431959,0.1383881141568042
0.38,0.66,0.5366289246811429,0.12337107531885716
0.385,0.63,0.5357929030116958,0.0942070969883042
0.39,0.669,0.5349568813422487,0.13404311865775131
0.395,0.651,0.5341208596728015,0.11687914032719848
0.4,0.655,0.5340006737338244,0.1209993262661756
0.405,0.637,0.5349184496040286,0.10208155039597144
0.41,0.627,0.5358362254742327,0.0911637745257673
0.415,0.635,0.5367540013444368,0.09824599865556316
0.42,0.632,0.537888512080142,0.09411148791985802
0.425,0.621,0.539470038475943,0.081529961524057
0.43,0.643,0.541051564871744,0.10194843512825602
0.435,0.657,0.542633091267545,0.11436690873245503
0.44,0.658,0.5439036306602344,0.11409636933976564
0.445,0.666,0.544215293459997,0.12178470654000306
0.45,0.656,0.5445269562597594,0.11147304374024058
0.455,0.671,0.5448386190595219,0.12616138094047813
0.46,0.664,0.5449358431268856,0.11906415687311445
0.465,0.675,0.543934068690705,0.131065931309295
0.47,0.656,0.5429322942545245,0.11306770574547553
0.475,0.666,0.541930519818344,0.12406948018165609
0.48,0.659,0.5409645193615301,0.11803548063846991
0.485,0.669,0.540400976172591,0.12859902382740906
0.49,0.632,0.5398374329836519,0.09216256701634806
0.495,0.681,0.5392738897947128,0.14172611020528725
0.5,0.657,0.5387103466057738,0.11828965339422626
